Image,class,pixels_predicted,pixels_expanded,total pixels in image
2009_HRI/Shallow/HRI082009VS5AB-140F.png,BACK,15632,127309,786432
2009_HRI/Shallow/HRI082009VS5AB-140F.png,CCAP,209328,153262,786432
2009_HRI/Shallow/HRI082009VS5AB-140F.png,DIP,237776,215203,786432
2009_HRI/Shallow/HRI082009VS5AB-140F.png,DROE,58704,54031,786432
2009_HRI/Shallow/HRI082009VS5AB-140F.png,ESSU,230672,204305,786432
2009_HRI/Shallow/HRI082009VS5AB-140F.png,FRM,23120,20799,786432
2009_HRI/Shallow/HRI082009VS5AB-140F.png,HBCO,11200,10966,786432
2009_HRI/Shallow/HRI082009VS6AB-133F.png,BACK,17888,97653,786432
2009_HRI/Shallow/HRI082009VS6AB-133F.png,CCAP,26464,25333,786432
2009_HRI/Shallow/HRI082009VS6AB-133F.png,DROE,92736,88895,786432
2009_HRI/Shallow/HRI082009VS6AB-133F.png,ESSU,421728,358029,786432
2009_HRI/Shallow/HRI082009VS6AB-133F.png,FRM,18992,14121,786432
2009_HRI/Shallow/HRI082009VS6AB-133F.png,ISS,8272,11986,786432
2009_HRI/Shallow/HRI082009VS6AB-133F.png,MSS,83152,74714,786432
2009_HRI/Shallow/HRI082009VS6AB-133F.png,URF,117200,102328,786432
2009_HRI/Shallow/HRI082009VS7AB-134F.png,BACK,3392,44862,786432
2009_HRI/Shallow/HRI082009VS7AB-134F.png,CCAP,4352,14006,786432
2009_HRI/Shallow/HRI082009VS7AB-134F.png,ESSU,659264,597142,786432
2009_HRI/Shallow/HRI082009VS7AB-134F.png,FRM,12944,14098,786432
2009_HRI/Shallow/HRI082009VS7AB-134F.png,HBCO,48,7840,786432
2009_HRI/Shallow/HRI082009VS7AB-134F.png,MSS,106432,101313,786432
2009_HRI/Shallow/HRI082009VS8AB-137F.png,BACK,5008,44151,786432
2009_HRI/Shallow/HRI082009VS8AB-137F.png,CCAP,406864,361540,786432
2009_HRI/Shallow/HRI082009VS8AB-137F.png,ESSU,266256,237380,786432
2009_HRI/Shallow/HRI082009VS8AB-137F.png,FRM,13216,15474,786432
2009_HRI/Shallow/HRI082009VS8AB-137F.png,HBCO,13584,22252,786432
2009_HRI/Shallow/HRI082009VS8AB-137F.png,MSS,81504,79761,786432
2009_HRI/Shallow/HRI082009VS9AB-142F.png,BACK,5488,59331,786432
2009_HRI/Shallow/HRI082009VS9AB-142F.png,CCAP,2704,16567,786432
2009_HRI/Shallow/HRI082009VS9AB-142F.png,ESSU,532400,403018,786432
2009_HRI/Shallow/HRI082009VS9AB-142F.png,FRM,25072,25843,786432
2009_HRI/Shallow/HRI082009VS9AB-142F.png,HBCO,2032,52043,786432
2009_HRI/Shallow/HRI082009VS9AB-142F.png,MSS,218736,204857,786432
2009_HRI/Shallow/HRI082009VSextra-141F.png,BACK,30528,51018,786432
2009_HRI/Shallow/HRI082009VSextra-141F.png,CCAP,216096,230047,786432
2009_HRI/Shallow/HRI082009VSextra-141F.png,ESSU,318240,279494,786432
2009_HRI/Shallow/HRI082009VSextra-141F.png,FRM,22864,18998,786432
2009_HRI/Shallow/HRI082009VSextra-141F.png,MSS,198704,199645,786432
2009_HRO/Mid/HRO082009VDL5AB-165F.png,BACK,100992,88244,786432
2009_HRO/Mid/HRO082009VDL5AB-165F.png,CCAP,57664,10096,786432
2009_HRO/Mid/HRO082009VDL5AB-165F.png,ESSU,9056,8342,786432
2009_HRO/Mid/HRO082009VDL5AB-165F.png,FRM,19616,18718,786432
2009_HRO/Mid/HRO082009VDL5AB-165F.png,HBCO,421312,484465,786432
2009_HRO/Mid/HRO082009VDL5AB-165F.png,ISS,110368,71128,786432
2009_HRO/Mid/HRO082009VDL5AB-165F.png,URF,67424,83749,786432
2009_HRO/Mid/HRO082009VDL6AB-166F.png,BACK,73328,181520,786432
2009_HRO/Mid/HRO082009VDL6AB-166F.png,CCAP,363120,273755,786432
2009_HRO/Mid/HRO082009VDL6AB-166F.png,ESSU,95632,85702,786432
2009_HRO/Mid/HRO082009VDL6AB-166F.png,FRM,17600,17478,786432
2009_HRO/Mid/HRO082009VDL6AB-166F.png,HBCO,108864,95759,786432
2009_HRO/Mid/HRO082009VDL6AB-166F.png,ISS,79936,67122,786432
2009_HRO/Mid/HRO082009VDL6AB-166F.png,URF,47952,40012,786432
2009_HRO/Mid/HRO082009VDL7AB-167F.png,BACK,100192,255721,786432
2009_HRO/Mid/HRO082009VDL7AB-167F.png,AGL,5088,6495,786432
2009_HRO/Mid/HRO082009VDL7AB-167F.png,AST,8368,9169,786432
2009_HRO/Mid/HRO082009VDL7AB-167F.png,CCAP,17152,34797,786432
2009_HRO/Mid/HRO082009VDL7AB-167F.png,ESSU,101168,88770,786432
2009_HRO/Mid/HRO082009VDL7AB-167F.png,FRM,15008,13615,786432
2009_HRO/Mid/HRO082009VDL7AB-167F.png,HBCO,306592,211544,786432
2009_HRO/Mid/HRO082009VDL7AB-167F.png,ISS,142368,76393,786432
2009_HRO/Mid/HRO082009VDL7AB-167F.png,URF,90496,76809,786432
2009_HRO/Mid/HRO082009VDL8AB-168F.png,BACK,163280,145505,786432
2009_HRO/Mid/HRO082009VDL8AB-168F.png,CCAP,36976,10230,786432
2009_HRO/Mid/HRO082009VDL8AB-168F.png,ESSU,193968,135267,786432
2009_HRO/Mid/HRO082009VDL8AB-168F.png,FRM,18816,18779,786432
2009_HRO/Mid/HRO082009VDL8AB-168F.png,HBCO,219040,332917,786432
2009_HRO/Mid/HRO082009VDL8AB-168F.png,ISS,48848,30613,786432
2009_HRO/Mid/HRO082009VDL8AB-168F.png,MED,6224,0,786432
2009_HRO/Mid/HRO082009VDL8AB-168F.png,URF,99280,112017,786432
2009_HRO/Mid/HRO082009VDR1AB-160F.png,BACK,86976,285176,786432
2009_HRO/Mid/HRO082009VDR1AB-160F.png,CCAP,560,0,786432
2009_HRO/Mid/HRO082009VDR1AB-160F.png,ESSU,16848,485,786432
2009_HRO/Mid/HRO082009VDR1AB-160F.png,FRM,23312,22825,786432
2009_HRO/Mid/HRO082009VDR1AB-160F.png,HBCO,629136,309172,786432
2009_HRO/Mid/HRO082009VDR1AB-160F.png,ISS,28768,77214,786432
2009_HRO/Mid/HRO082009VDR1AB-160F.png,URF,832,82581,786432
2009_HRO/Mid/HRO082009VDR2AB-161F.png,BACK,168208,286025,786432
2009_HRO/Mid/HRO082009VDR2AB-161F.png,AGL,64,13353,786432
2009_HRO/Mid/HRO082009VDR2AB-161F.png,CCAP,30800,3277,786432
2009_HRO/Mid/HRO082009VDR2AB-161F.png,FRM,61472,56831,786432
2009_HRO/Mid/HRO082009VDR2AB-161F.png,HBCO,218320,222533,786432
2009_HRO/Mid/HRO082009VDR2AB-161F.png,ISS,125248,87362,786432
2009_HRO/Mid/HRO082009VDR2AB-161F.png,URF,182320,101696,786432
2009_HRO/Mid/HRO082009VDR3AB-162F.png,BACK,170288,291205,786432
2009_HRO/Mid/HRO082009VDR3AB-162F.png,AGL,6848,12859,786432
2009_HRO/Mid/HRO082009VDR3AB-162F.png,CCAP,28064,26680,786432
2009_HRO/Mid/HRO082009VDR3AB-162F.png,ESSU,512,4506,786432
2009_HRO/Mid/HRO082009VDR3AB-162F.png,FRM,16304,16145,786432
2009_HRO/Mid/HRO082009VDR3AB-162F.png,HBCO,288624,245180,786432
2009_HRO/Mid/HRO082009VDR3AB-162F.png,ISS,95184,60174,786432
2009_HRO/Mid/HRO082009VDR3AB-162F.png,URF,180608,109228,786432
2009_HRO/Mid/HRO082009VDR4AB-164F.png,BACK,89200,125294,786432
2009_HRO/Mid/HRO082009VDR4AB-164F.png,CCAP,120064,51429,786432
2009_HRO/Mid/HRO082009VDR4AB-164F.png,FRM,122064,103788,786432
2009_HRO/Mid/HRO082009VDR4AB-164F.png,HBCO,316992,346365,786432
2009_HRO/Mid/HRO082009VDR4AB-164F.png,ISS,57072,64346,786432
2009_HRO/Mid/HRO082009VDR4AB-164F.png,MSS,9792,10463,786432
2009_HRO/Mid/HRO082009VDR4AB-164F.png,URF,71248,80537,786432
2009_HRO/Shallow/HRO082009VCB4AB-153F.png,BACK,30096,146029,786432
2009_HRO/Shallow/HRO082009VCB4AB-153F.png,CCAP,36064,67665,786432
2009_HRO/Shallow/HRO082009VCB4AB-153F.png,ESSU,690592,533674,786432
2009_HRO/Shallow/HRO082009VCB4AB-153F.png,FRM,14656,13013,786432
2009_HRO/Shallow/HRO082009VCB4AB-153F.png,HBCO,15024,756,786432
2009_HRO/Shallow/HRO082009VCB5AB-156F.png,BACK,22656,118744,786432
2009_HRO/Shallow/HRO082009VCB5AB-156F.png,AST,5280,10,786432
2009_HRO/Shallow/HRO082009VCB5AB-156F.png,CCAP,137296,149446,786432
2009_HRO/Shallow/HRO082009VCB5AB-156F.png,DROE,57856,37042,786432
2009_HRO/Shallow/HRO082009VCB5AB-156F.png,ESSU,533728,460000,786432
2009_HRO/Shallow/HRO082009VCB5AB-156F.png,FRM,20112,16469,786432
2009_HRO/Shallow/HRO082009VCB5AB-156F.png,HBCO,9504,252,786432
2009_HRO/Shallow/HRO082009VCB6AB-159F.png,BACK,12304,58331,786432
2009_HRO/Shallow/HRO082009VCB6AB-159F.png,BAS,11840,13353,786432
2009_HRO/Shallow/HRO082009VCB6AB-159F.png,CCAP,379888,362276,786432
2009_HRO/Shallow/HRO082009VCB6AB-159F.png,ESSU,367552,329891,786432
2009_HRO/Shallow/HRO082009VCB6AB-159F.png,FRM,14848,14189,786432
2009_HRO/Shallow/HRO082009VCT1AB-152F.png,BACK,48800,180782,786432
2009_HRO/Shallow/HRO082009VCT1AB-152F.png,CCAP,206960,161916,786432
2009_HRO/Shallow/HRO082009VCT1AB-152F.png,DROE,55248,57585,786432
2009_HRO/Shallow/HRO082009VCT1AB-152F.png,ESSU,436448,370122,786432
2009_HRO/Shallow/HRO082009VCT1AB-152F.png,FRM,15920,13686,786432
2009_HRO/Shallow/HRO082009VCT1AB-152F.png,HBCO,23056,0,786432
2009_HRO/Shallow/HRO082009VCT2AB-155F.png,BACK,18496,122970,786432
2009_HRO/Shallow/HRO082009VCT2AB-155F.png,AST,3472,5352,786432
2009_HRO/Shallow/HRO082009VCT2AB-155F.png,CCAP,439488,380562,786432
2009_HRO/Shallow/HRO082009VCT2AB-155F.png,DROE,74896,70748,786432
2009_HRO/Shallow/HRO082009VCT2AB-155F.png,ESSU,229392,183938,786432
2009_HRO/Shallow/HRO082009VCT2AB-155F.png,FRM,20432,17015,786432
2009_HRO/Shallow/HRO082009VCT2AB-155F.png,HBCO,256,450,786432
2009_HRO/Shallow/HRO082009VCT3AB-158F.png,BACK,9280,43162,786432
2009_HRO/Shallow/HRO082009VCT3AB-158F.png,CCAP,516800,480379,786432
2009_HRO/Shallow/HRO082009VCT3AB-158F.png,ESSU,243904,244101,786432
2009_HRO/Shallow/HRO082009VCT3AB-158F.png,FRM,16208,15079,786432
2009_HRO/Shallow/HRO082009VCT3AB-158F.png,MED,240,0,786432
2009_HRO/Shallow/HRO082009VCT7AB-151F.png,BACK,15056,123319,786432
2009_HRO/Shallow/HRO082009VCT7AB-151F.png,AST,1168,3321,786432
2009_HRO/Shallow/HRO082009VCT7AB-151F.png,CCAP,112096,80050,786432
2009_HRO/Shallow/HRO082009VCT7AB-151F.png,DROE,37712,36678,786432
2009_HRO/Shallow/HRO082009VCT7AB-151F.png,ESSU,601120,495948,786432
2009_HRO/Shallow/HRO082009VCT7AB-151F.png,FRM,19120,19002,786432
2009_HRO/Shallow/HRO082009VCT7AB-151F.png,ISS,160,4088,786432
2009_HRO/Shallow/HRO082009VCT8AB-154F.png,BACK,17360,74204,786432
2009_HRO/Shallow/HRO082009VCT8AB-154F.png,CCAP,294736,253199,786432
2009_HRO/Shallow/HRO082009VCT8AB-154F.png,DROE,64528,63968,786432
2009_HRO/Shallow/HRO082009VCT8AB-154F.png,ESSU,392496,370997,786432
2009_HRO/Shallow/HRO082009VCT8AB-154F.png,FRM,17312,15968,786432
2009_HRO/Shallow/HRO082009VCT9AB-157F.png,BACK,27536,94539,786432
2009_HRO/Shallow/HRO082009VCT9AB-157F.png,CCAP,310192,355614,786432
2009_HRO/Shallow/HRO082009VCT9AB-157F.png,DROE,53584,43706,786432
2009_HRO/Shallow/HRO082009VCT9AB-157F.png,ESSU,379248,277213,786432
2009_HRO/Shallow/HRO082009VCT9AB-157F.png,FRM,15856,15182,786432
2009_HRO/Shallow/HRO082009VCT9AB-157F.png,HBCO,16,0,786432
2011_HRI/Mid/HRI072511VC1AB-864.png,BACK,7280,42379,786432
2011_HRI/Mid/HRI072511VC1AB-864.png,CCAP,525232,510454,786432
2011_HRI/Mid/HRI072511VC1AB-864.png,FRM,177936,128977,786432
2011_HRI/Mid/HRI072511VC1AB-864.png,HBCO,75984,97346,786432
2011_HRI/Mid/HRI072511VC2AB-865.png,BACK,10064,25873,786432
2011_HRI/Mid/HRI072511VC2AB-865.png,CCAP,578160,542626,786432
2011_HRI/Mid/HRI072511VC2AB-865.png,FRM,187248,170189,786432
2011_HRI/Mid/HRI072511VC2AB-865.png,HBCO,6224,28959,786432
2011_HRI/Mid/HRI072511VC2AB-865.png,SED,4736,17708,786432
2011_HRI/Mid/HRI072511VC3AB-860.png,BACK,4800,39082,786432
2011_HRI/Mid/HRI072511VC3AB-860.png,CCAP,549792,530960,786432
2011_HRI/Mid/HRI072511VC3AB-860.png,FRM,191424,151091,786432
2011_HRI/Mid/HRI072511VC3AB-860.png,HBCO,40096,51382,786432
2011_HRI/Mid/HRI072511VC3AB-860.png,URF,320,1006,786432
2011_HRI/Mid/HRI072511VC4AB-861.png,BACK,5280,116675,786432
2011_HRI/Mid/HRI072511VC4AB-861.png,CCAP,547456,527733,786432
2011_HRI/Mid/HRI072511VC4AB-861.png,FRM,167440,75047,786432
2011_HRI/Mid/HRI072511VC4AB-861.png,HBCO,66256,63657,786432
2011_HRI/Mid/HRI072511VC6A7A-866.png,BACK,12128,40929,786432
2011_HRI/Mid/HRI072511VC6A7A-866.png,CCAP,515248,546122,786432
2011_HRI/Mid/HRI072511VC6A7A-866.png,FRM,187744,116702,786432
2011_HRI/Mid/HRI072511VC6A7A-866.png,HBCO,70688,21227,786432
2011_HRI/Mid/HRI072511VC6A7A-866.png,ISS,624,3895,786432
2011_HRI/Mid/HRI072511VC6B7B-862.png,BACK,59744,47831,786432
2011_HRI/Mid/HRI072511VC6B7B-862.png,AGL,6368,6809,786432
2011_HRI/Mid/HRI072511VC6B7B-862.png,CCAP,186144,92844,786432
2011_HRI/Mid/HRI072511VC6B7B-862.png,ESSU,16240,1569,786432
2011_HRI/Mid/HRI072511VC6B7B-862.png,FRM,186352,150805,786432
2011_HRI/Mid/HRI072511VC6B7B-862.png,HBCO,328208,484035,786432
2011_HRI/Mid/HRI072511VC6B7B-862.png,ISS,3376,1845,786432
2011_HRI/Mid/HRI072511WA1AB-869.png,BACK,10128,38820,786432
2011_HRI/Mid/HRI072511WA1AB-869.png,CCAP,568112,543542,786432
2011_HRI/Mid/HRI072511WA1AB-869.png,ESSU,10736,16656,786432
2011_HRI/Mid/HRI072511WA1AB-869.png,FRM,193328,159021,786432
2011_HRI/Mid/HRI072511WA1AB-869.png,HBCO,4128,9344,786432
2011_HRI/Mid/HRI072511WA2AB-872.png,BACK,8816,78729,786432
2011_HRI/Mid/HRI072511WA2AB-872.png,CCAP,510864,536290,786432
2011_HRI/Mid/HRI072511WA2AB-872.png,ESSU,11760,23879,786432
2011_HRI/Mid/HRI072511WA2AB-872.png,FRM,240480,132386,786432
2011_HRI/Mid/HRI072511WA2AB-872.png,HBCO,4080,0,786432
2011_HRI/Mid/HRI072511WA2AB-872.png,ISS,10432,6680,786432
2011_HRI/Mid/HRI072511WA3A4A-870.png,BACK,528,37836,786432
2011_HRI/Mid/HRI072511WA3A4A-870.png,CCAP,584240,579492,786432
2011_HRI/Mid/HRI072511WA3A4A-870.png,FRM,201664,168201,786432
2011_HRI/Mid/HRI072511WA3B4B-873.png,BACK,2144,50772,786432
2011_HRI/Mid/HRI072511WA3B4B-873.png,CCAP,550448,549828,786432
2011_HRI/Mid/HRI072511WA3B4B-873.png,FRM,233584,180314,786432
2011_HRI/Mid/HRI072511WA3B4B-873.png,ISS,256,3203,786432
2011_HRI/Shallow/HRI072511VS1AB-891.png,BACK,48032,40715,786432
2011_HRI/Shallow/HRI072511VS1AB-891.png,DROE,13392,17945,786432
2011_HRI/Shallow/HRI072511VS1AB-891.png,ESSU,498288,401297,786432
2011_HRI/Shallow/HRI072511VS1AB-891.png,FRM,195072,158785,786432
2011_HRI/Shallow/HRI072511VS1AB-891.png,HBCO,19840,39235,786432
2011_HRI/Shallow/HRI072511VS1AB-891.png,URF,11808,73946,786432
2011_HRI/Shallow/HRI072511VS2AB-892.png,BACK,12544,17606,786432
2011_HRI/Shallow/HRI072511VS2AB-892.png,BAS,2624,10282,786432
2011_HRI/Shallow/HRI072511VS2AB-892.png,DROE,27056,27455,786432
2011_HRI/Shallow/HRI072511VS2AB-892.png,ESSU,495792,380086,786432
2011_HRI/Shallow/HRI072511VS2AB-892.png,FRM,207936,199488,786432
2011_HRI/Shallow/HRI072511VS2AB-892.png,HBCO,2752,52176,786432
2011_HRI/Shallow/HRI072511VS2AB-892.png,ISS,32,0,786432
2011_HRI/Shallow/HRI072511VS2AB-892.png,MSS,37696,38731,786432
2011_HRI/Shallow/HRI072511VS4AB-888.png,BACK,55984,29292,786432
2011_HRI/Shallow/HRI072511VS4AB-888.png,AGL,3712,5770,786432
2011_HRI/Shallow/HRI072511VS4AB-888.png,AST,1696,3083,786432
2011_HRI/Shallow/HRI072511VS4AB-888.png,BAS,444976,354077,786432
2011_HRI/Shallow/HRI072511VS4AB-888.png,ESSU,37088,57086,786432
2011_HRI/Shallow/HRI072511VS4AB-888.png,FRM,171856,153465,786432
2011_HRI/Shallow/HRI072511VS4AB-888.png,HBCO,16784,80818,786432
2011_HRI/Shallow/HRI072511VS4AB-888.png,ISS,32128,37104,786432
2011_HRI/Shallow/HRI072511VS4AB-888.png,URF,22208,61552,786432
2011_HRI/Shallow/HRI072511VS6AB-889.png,BACK,37088,77450,786432
2011_HRI/Shallow/HRI072511VS6AB-889.png,AST,4528,6229,786432
2011_HRI/Shallow/HRI072511VS6AB-889.png,BAS,12096,27906,786432
2011_HRI/Shallow/HRI072511VS6AB-889.png,ESSU,240544,221248,786432
2011_HRI/Shallow/HRI072511VS6AB-889.png,FRM,199168,136556,786432
2011_HRI/Shallow/HRI072511VS6AB-889.png,HBCO,203920,213873,786432
2011_HRI/Shallow/HRI072511VS6AB-889.png,ISS,14352,16781,786432
2011_HRI/Shallow/HRI072511VS6AB-889.png,MSS,56848,51595,786432
2011_HRI/Shallow/HRI072511VS6AB-889.png,URF,17888,34794,786432
2011_HRI/Shallow/HRI072511VS7AB-890.png,BACK,4160,40339,786432
2011_HRI/Shallow/HRI072511VS7AB-890.png,ESSU,488944,449945,786432
2011_HRI/Shallow/HRI072511VS7AB-890.png,FRM,171504,161341,786432
2011_HRI/Shallow/HRI072511VS7AB-890.png,ISS,2784,10425,786432
2011_HRI/Shallow/HRI072511VS7AB-890.png,MSS,119040,111240,786432
2011_HRI/Shallow/HRI072511VS8AB-893.png,BACK,10128,128424,786432
2011_HRI/Shallow/HRI072511VS8AB-893.png,ESSU,319936,233990,786432
2011_HRI/Shallow/HRI072511VS8AB-893.png,FRM,345136,308833,786432
2011_HRI/Shallow/HRI072511VS8AB-893.png,MSS,111232,91125,786432
